q,p1,p2,market
0.00,-0.0000,-0.0000,-0.0000
0.05,-0.0475,-0.0475,-0.0475
0.10,-0.0819,-0.0900,-0.0839
0.15,-0.1205,-0.1268,-0.1224
0.20,-0.1543,-0.1588,-0.1559
0.25,-0.1825,-0.1873,-0.1840
0.30,-0.2068,-0.2095,-0.2079
0.35,-0.2253,-0.2269,-0.2260
0.40,-0.2400,-0.2400,-0.2400
0.45,-0.2475,-0.2475,-0.2475
0.50,-0.2500,-0.2500,-0.2500
0.55,-0.2475,-0.2475,-0.2475
0.60,-0.2400,-0.2400,-0.2400
0.65,-0.2253,-0.2269,-0.2260
0.70,-0.2063,-0.2095,-0.2075
0.75,-0.1825,-0.1873,-0.1840
0.80,-0.1540,-0.1588,-0.1555
0.85,-0.1205,-0.1268,-0.1224
0.90,-0.0819,-0.0883,-0.0835
0.95,-0.0475,-0.0475,-0.0475
1.00,-0.0000,-0.0000,-0.0000
